Visitor/Neutral,PTS,Home/Neutral,PTS,WIN
Atlanta Hawks,87,Indiana Pacers,93,H
Brooklyn Nets,111,Miami Heat,105,V
New Orleans Pelicans,89,Orlando Magic,104,H
Cleveland Cavaliers,101,Phoenix Suns,97,V
Minnesota Timberwolves,95,San Antonio Spurs,101,H
Philadelphia 76ers,91,Utah Jazz,95,H
Los Angeles Clippers,108,Washington Wizards,91,V
Cleveland Cavaliers,93,Denver Nuggets,87,V
Atlanta Hawks,121,Houston Rockets,115,V
Miami Heat,90,Memphis Grizzlies,99,H
Detroit Pistons,96,New York Knicks,108,H
Milwaukee Bucks,123,Oklahoma City Thunder,131,H
Los Angeles Lakers,112,Boston Celtics,104,V
Indiana Pacers,100,Chicago Bulls,102,H
Los Angeles Clippers,122,Charlotte Hornets,117,V
Golden State Warriors,91,Dallas Mavericks,114,H
Utah Jazz,80,Minnesota Timberwolves,94,H
Brooklyn Nets,93,Orlando Magic,100,H
Denver Nuggets,103,Portland Trail Blazers,110,H
Philadelphia 76ers,110,Sacramento Kings,105,V
Phoenix Suns,79,San Antonio Spurs,112,H
Washington Wizards,91,Toronto Raptors,94,H
Minnesota Timberwolves,90,Detroit Pistons,115,H
Golden State Warriors,114,Houston Rockets,110,V
Milwaukee Bucks,120,Indiana Pacers,116,V
Los Angeles Clippers,95,New Orleans Pelicans,89,V
Phoenix Suns,106,Oklahoma City Thunder,110,H
Portland Trail Blazers,96,Utah Jazz,109,H
New York Knicks,81,Chicago Bulls,108,H
Philadelphia 76ers,84,Los Angeles Lakers,93,H
Dallas Mavericks,82,Miami Heat,106,H
Charlotte Hornets,94,Toronto Raptors,104,H
Orlando Magic,91,Washington Wizards,103,H
Brooklyn Nets,100,Boston Celtics,97,V
Oklahoma City Thunder,109,Charlotte Hornets,90,V
Orlando Magic,79,Cleveland Cavaliers,104,H
New Orleans Pelicans,105,Dallas Mavericks,98,V
Denver Nuggets,108,Golden State Warriors,111,H
Detroit Pistons,82,Indiana Pacers,94,H
Philadelphia 76ers,99,Los Angeles Clippers,130,H
Milwaukee Bucks,95,Minnesota Timberwolves,85,V
Phoenix Suns,119,Sacramento Kings,142,H
Houston Rockets,103,San Antonio Spurs,121,H
Memphis Grizzlies,87,Utah Jazz,92,H
Portland Trail Blazers,112,Denver Nuggets,106,V
Phoenix Suns,77,Los Angeles Lakers,97,H
Atlanta Hawks,97,New York Knicks,111,H
Chicago Bulls,115,Toronto Raptors,113,V
Miami Heat,97,Washington Wizards,75,V
Boston Celtics,103,Brooklyn Nets,94,V
Toronto Raptors,100,Cleveland Cavaliers,122,H
Orlando Magic,89,Detroit Pistons,115,H
Charlotte Hornets,101,Golden State Warriors,111,H
Indiana Pacers,100,Miami Heat,103,H
San Antonio Spurs,123,Milwaukee Bucks,98,V
Sacramento Kings,116,Oklahoma City Thunder,104,V
Minnesota Timberwolves,99,Philadelphia 76ers,109,H
Memphis Grizzlies,91,Portland Trail Blazers,78,V
Houston Rockets,93,Utah Jazz,91,V
New York Knicks,107,Atlanta Hawks,101,V
Milwaukee Bucks,106,Chicago Bulls,117,H
Sacramento Kings,116,Dallas Mavericks,117,H
Golden State Warriors,109,Los Angeles Lakers,88,V
Detroit Pistons,99,Boston Celtics,94,V
Toronto Raptors,91,Brooklyn Nets,74,V
New York Knicks,98,Miami Heat,90,V
Denver Nuggets,78,Minnesota Timberwolves,74,V
Dallas Mavericks,100,New Orleans Pelicans,91,V
Memphis Grizzlies,94,Oklahoma City Thunder,112,H
Indiana Pacers,95,Orlando Magic,86,V
Charlotte Hornets,102,Phoenix Suns,111,H
Los Angeles Clippers,109,Portland Trail Blazers,98,V
Utah Jazz,98,San Antonio Spurs,123,H
Cleveland Cavaliers,121,Washington Wizards,115,V
Boston Celtics,92,Chicago Bulls,101,H
Utah Jazz,94,Houston Rockets,103,H
Atlanta Hawks,126,Philadelphia 76ers,98,V
Los Angeles Lakers,115,Sacramento Kings,118,H
Orlando Magic,83,Brooklyn Nets,77,V
Oklahoma City Thunder,117,Los Angeles Lakers,113,V
Denver Nuggets,84,Memphis Grizzlies,91,H
Dallas Mavericks,95,Milwaukee Bucks,96,H
Cleveland Cavaliers,125,Minnesota Timberwolves,99,V
Indiana Pacers,91,New Orleans Pelicans,86,V
Miami Heat,103,Phoenix Suns,95,V
